price,size,bedrooms,age,style
66500,741,1,Between 11 and 20 years,Traditional
66000,741,11,Between 11 and 20 years,Traditional
68500,790,1,Between 11 and 20 years,Traditional
102000,2783,2,Between 11 and 20 years,Traditional
54000,1165,2,More than 20 years,Traditional
143000,2331,2,More than 20 years,Traditional
98900,1228,2,More than 20 years,Traditional
98350,1228,2,More than 20 years,Traditional
98847,1228,2,More than 20 years,Traditional
98900,1228,2,More than 20 years,Traditional
101313,1228,2,More than 20 years,Traditional
125000,1520,2,Between 11 and 20 years,Traditional
62500,1440,2,More than 20 years,Traditional
92000,1001,2,More than 20 years,Traditional
120000,1438,2,More than 20 years,Traditional
23000,956,2,More than 20 years,Traditional
22654,1080,2,More than 20 years,Traditional
95000,1745,2,More than 20 years,Traditional
64900,971,2,More than 20 years,Tradition
75000,1303,2,More than 20 years,Traditional
68000,1590,2,More than 20 years,Traditional
23000,933,2,More than 20 years,Traditional
40101,850,2,More than 20 years,Traditional
93000,2332,2,More than 20 years,Traditional
58500,1562,2,More than 20 years,Traditional
103500,1452,3,Between 11 and 20 years,Traditional
102565,2890,3,More than 20 years,Traditional
979,2419,3,Between 11 and 20 years,Traditional
99000,1808,3,Between 11 and 20 years,Traditional
82000,1396,3,More than 20 years,Traditional
171500,2216,3,Up to 5 years,Traditional
135900,1425,3,Between 11 and 20 years,Tradition
80001,2291,3,More than 20 years,Traditional
136000,2024,3,Up to 5 years,Traditional
167500,2560,3,Up to 5 years,Traditional
134000,2246,3,Up to 5 years,Traditional
270000,5814,3,More than 20 years,Traditional
315000,3835,3,More than 20 years,Traditional
207000,2870,3,Between 11 and 20 years,Traditional
197500,3128,3,More than 20 years,Traditional
335000,3060,3,More than 20 years,Traditional
219000,2918,3,More than 20 years,Traditional
189900,1936,3,More than 20 years,Traditional
79900,2610,3,More than 20 years,Traditional
123400,2446,3,More than 20 years,Traditional
123000,2590,3,More than 20 years,Traditional
130500,2910,3,More than 20 years,Traditional
128000,1304,3,More than 20 years,Traditional
68000,1342,3,More than 20 years,Traditional
62000,1090,3,More than 20 years,Traditional
124000,2989,3,More than 20 years,Traditional
50000,2191,3,More than 20 years,Traditional
89900,,3,More than 20 years,Traditional
125000,1912,3,More than 20 years,Traditional
147000,2126,3,More than 20 years,Traditional
246000,2666,3,More than 20 years,Traditional
76000,1286,3,More than 20 years,Traditional
135000,2135,3,More than 20 years,Traditional
85000,140,3,More than 20 years,Traditional
124900,2272,3,More than 20 years,Traditional
98900,1956,3,More than 20 years,Traditional
120000,1644,3,More than 20 years,Traditional
134000,2692,3,More than 20 years,Tradition
115495,2707,3,More than 20 years,Tradition
81900,1404,3,More than 20 years,Tradition
34000,1111,3,More than 20 years,Traditional
91500,1519,3,More than 20 years,Traditional
109200,2100,3,More than 20 years,Traditional
42000,1370,3,More than 20 years,Traditional
110000,1819,3,More than 20 years,Traditional
142000,2545,3,More than 20 years,Traditional
79900,1511,3,More than 20 years,Traditional
134900,2403,3,More than 20 years,Traditional
130000,2468,3,More than 20 years,Traditional
125000,2367,3,More than 20 years,Traditional
108000,2461,3,More than 20 years,Traditional
133000,2496,3,More than 20 years,Traditional
126000,2301,3,More than 20 years,Traditional
121900,2200,3,More than 20 years,Traditional
116000,,3,More than 20 years,Traditional
135000,2876,3,More than 20 years,Traditional
150000,2523,3,More than 20 years,Traditional
136400,2534,3,More than 20 years,Traditional
97500,1790,3,More than 20 years,Traditional
141000,2703,3,More than 20 years,Traditional
185000,2495,3,Between 11 and 20 years,Traditional
127000,2009,3,More than 20 years,Traditional
290000,2824,3,More than 20 years,Traditional
